"x" "cl" "nbases" ".sample"
1.58496648341591 "2" 79 1
1.53618599505832 "2" 79 1
1.54900383890957 "2" 79 1
1.54781979071425 "2" 79 1
1.42120113116826 "2" 79 1
1.27440722248082 "2" 79 1
1.61904429499171 "2" 79 1
1.6504939710757 "2" 79 1
1.40960763271307 "2" 79 1
1.64362933765302 "2" 79 1
1.58250780272066 "2" 79 1
1.56524796868741 "2" 79 1
1.57143100929176 "2" 79 1
1.59009255935208 "2" 79 1
1.53753889928813 "2" 79 1
-1.59643831340314 "1" 79 1
-1.54643890788293 "1" 79 1
-1.40857183327303 "1" 79 1
-1.43919693314565 "1" 79 1
-1.54772896161594 "1" 79 1
-1.51091553154963 "1" 79 1
-1.67973146662024 "1" 79 1
-1.61515455140699 "1" 79 1
-1.52571585674263 "1" 79 1
-1.39445590650774 "1" 79 1
-1.42175242654086 "1" 79 1
-1.6318935421807 "1" 79 1
-1.62653935589953 "1" 79 1
-1.64359033625202 "1" 79 1
-1.49505401449963 "1" 79 1
-1.22130127363136 "1" 79 2
-1.61837757124314 "1" 79 2
-1.41305677919428 "1" 79 2
-1.33540507988533 "1" 79 2
-1.62927158834707 "1" 79 2
-1.74180214639732 "1" 79 2
-1.58382200023011 "1" 79 2
-1.45198129215357 "1" 79 2
-1.3738767272085 "1" 79 2
-1.38160732479263 "1" 79 2
-1.53766041161567 "1" 79 2
-1.45878669408113 "1" 79 2
-1.30079637190785 "1" 79 2
-1.26901916823079 "1" 79 2
-1.51520604733247 "1" 79 2
1.38688742191651 "2" 79 2
1.51468668522357 "2" 79 2
1.35737644091605 "2" 79 2
1.34141688700298 "2" 79 2
1.44177163279085 "2" 79 2
1.38558560892379 "2" 79 2
1.46972241104566 "2" 79 2
1.2983163522807 "2" 79 2
1.68089857467836 "2" 79 2
1.59278617924652 "2" 79 2
1.47609143854179 "2" 79 2
1.70392071980116 "2" 79 2
1.31766605073995 "2" 79 2
1.505071885412 "2" 79 2
1.35977218773133 "2" 79 2
1.38034193182982 "2" 83 3
1.53440492729125 "2" 83 3
1.37675648846986 "2" 83 3
