"id","response","ip_address","response_no","plot_location","start_time","end_time","time_taken","conf_level","choice_reason","sample_size","param_value","test_param","p_value","pic_id","pic_name","experiment","difficulty","description","age","gender","academic_study"
1,"TRUE","173.127.247.39",5,5,"2012-06-17 10:40:02","2012-06-17 10:40:25",23,2,"1",30,"60_0_1","p_noise_d",NA,"1266","plot_large_p_small_n_30_60_0_1_2.png","turk7","2","turk7",5,2,2
1,"TRUE","173.127.247.39",13,13,"2012-06-17 10:38:24","2012-06-17 10:38:55",31,2,"1",30,"10_0_2","p_noise_d",NA,"1254","plot_large_p_small_n_30_10_0_2_1.png","turk7","0","turk7",5,2,2
1,"FALSE","173.127.247.39",5,14,"2012-06-17 10:37:49","2012-06-17 10:38:20",31,1,"4",30,"60_1_2","p_noise_d",NA,"1311","plot_large_p_small_n_30_60_1_2_2.png","turk7","4","turk7",5,2,2
1,"FALSE","173.127.247.39",6,17,"2012-06-17 10:41:02","2012-06-17 10:41:31",29,3,"3",30,"40_0_2","p_noise_d",NA,"1294","plot_large_p_small_n_30_40_0_2_3.png","turk7","3","turk7",5,2,2
1,"FALSE","173.127.247.39",5,15,"2012-06-17 10:41:34","2012-06-17 10:42:06",32,2,"3",30,"80_0_1","p_noise_d",NA,"1269","plot_large_p_small_n_30_80_0_1_2.png","turk7","2","turk7",5,2,2
1,"FALSE","173.127.247.39",5,9,"2012-06-17 10:38:59","2012-06-17 10:39:35",36,2,"3",30,"100_1_2","p_noise_d",NA,"1317","plot_large_p_small_n_30_100_1_2_2.png","turk7","4","turk7",5,2,2
1,"TRUE","173.127.247.39",6,6,"2012-06-17 10:33:05","2012-06-17 10:34:10",65,1,"1",30,"20_0_2","p_noise_d",NA,"1290","plot_large_p_small_n_30_20_0_2_2.png","turk7","1","turk7",5,2,2
1,"FALSE","173.127.247.39",13,15,"2012-06-17 10:42:09","2012-06-17 10:42:57",48,3,"3",30,"20_1_2","p_noise_d",NA,"1305","plot_large_p_small_n_30_20_1_2_2.png","turk7","4","turk7",5,2,2
1,"FALSE","173.127.247.39",1,12,"2012-06-17 10:39:38","2012-06-17 10:39:57",19,2,"3",30,"80_0_2","p_noise_d",NA,"1299","plot_large_p_small_n_30_80_0_2_2.png","turk7","3","turk7",5,2,2
1,"TRUE","173.127.247.39",1,1,"2012-06-17 10:37:26","2012-06-17 10:37:45",19,1,"1",30,"20_0_2","p_noise_d",NA,"1291","plot_large_p_small_n_30_20_0_2_3.png","turk7","1","turk7",5,2,2
1,"FALSE","173.127.247.39",8,1,"2012-06-17 10:35:36","2012-06-17 10:36:59",83,2,"3",50,"40_0_2","p_noise_d",NA,"1321","plot_wasp_30_40_0_2_3.png","turk7","5","turk7",5,2,2
1,"FALSE","173.127.247.39",11,5,"2012-06-17 10:40:28","2012-06-17 10:40:59",31,2,"3",30,"20_1_1","p_noise_d",NA,"1275","plot_large_p_small_n_30_20_1_1_2.png","turk7","4","turk7",5,2,2
2,"FALSE","208.96.107.73",15,16,"2012-06-17 10:09:58","2012-06-17 10:10:11",13,1,"3",30,"80_1_2","p_noise_d",NA,"1313","plot_large_p_small_n_30_80_1_2_1.png","turk7","4","turk7",4,2,3
2,"TRUE","208.96.107.73",12,12,"2012-06-17 10:08:19","2012-06-17 10:08:34",15,1,"1",30,"60_0_2","p_noise_d",NA,"1296","plot_large_p_small_n_30_60_0_2_2.png","turk7","3","turk7",4,2,3
2,"TRUE","208.96.107.73",17,17,"2012-06-17 10:08:05","2012-06-17 10:08:16",11,1,"1",30,"20_0_1","p_noise_d",NA,"1259","plot_large_p_small_n_30_20_0_1_1.png","turk7","1","turk7",4,2,3
2,"TRUE","208.96.107.73",5,5,"2012-06-17 10:06:55","2012-06-17 10:07:12",17,1,"1",30,"60_0_1","p_noise_d",NA,"1266","plot_large_p_small_n_30_60_0_1_2.png","turk7","2","turk7",4,2,3
2,"TRUE","208.96.107.73",10,10,"2012-06-17 10:09:38","2012-06-17 10:09:54",16,1,"1",30,"10_0_1","p_noise_d",NA,"1249","plot_large_p_small_n_30_10_0_1_1.png","turk7","0","turk7",4,2,3
2,"FALSE","208.96.107.73",18,19,"2012-06-17 10:07:14","2012-06-17 10:07:40",26,2,"4",30,"80_0_2","p_noise_d",NA,"1298","plot_large_p_small_n_30_80_0_2_1.png","turk7","3","turk7",4,2,3
2,"FALSE","208.96.107.73",11,9,"2012-06-17 10:07:42","2012-06-17 10:08:00",18,2,"1",50,"40_1_2","p_noise_d",NA,"1323","plot_wasp_30_40_1_2_2.png","turk7","5","turk7",4,2,3
2,"FALSE","208.96.107.73",11,14,"2012-06-17 10:08:36","2012-06-17 10:09:36",60,2,"1",30,"80_1_1","p_noise_d",NA,"1284","plot_large_p_small_n_30_80_1_1_2.png","turk7","4","turk7",4,2,3
