"pic_id" "sample_size" "test_param" "param_value" "p_value" "location" "pic_name" "experiment" "difficulty"
1 "30" "p_noise_d" "20_0_1" NA "17" "plot_large_p_small_n_30_20_0_1_1.png" "large_p_small_n" "1"
2 "30" "p_noise_d" "20_0_1" NA "9" "plot_large_p_small_n_30_20_0_1_2.png" "large_p_small_n" "1"
3 "30" "p_noise_d" "20_0_1" NA "7" "plot_large_p_small_n_30_20_0_1_3.png" "large_p_small_n" "1"
4 "30" "p_noise_d" "40_0_1" NA "10" "plot_large_p_small_n_30_40_0_1_1.png" "large_p_small_n" "2"
5 "30" "p_noise_d" "40_0_1" NA "9" "plot_large_p_small_n_30_40_0_1_2.png" "large_p_small_n" "2"
6 "30" "p_noise_d" "40_0_1" NA "4" "plot_large_p_small_n_30_40_0_1_3.png" "large_p_small_n" "2"
7 "30" "p_noise_d" "60_0_1" NA "18" "plot_large_p_small_n_30_60_0_1_1.png" "large_p_small_n" "3"
8 "30" "p_noise_d" "60_0_1" NA "5" "plot_large_p_small_n_30_60_0_1_2.png" "large_p_small_n" "3"
9 "30" "p_noise_d" "60_0_1" NA "17" "plot_large_p_small_n_30_60_0_1_3.png" "large_p_small_n" "3"
10 "30" "p_noise_d" "80_0_1" NA "18" "plot_large_p_small_n_30_80_0_1_1.png" "large_p_small_n" "4"
11 "30" "p_noise_d" "80_0_1" NA "15" "plot_large_p_small_n_30_80_0_1_2.png" "large_p_small_n" "4"
12 "30" "p_noise_d" "80_0_1" NA "5" "plot_large_p_small_n_30_80_0_1_3.png" "large_p_small_n" "4"
13 "30" "p_noise_d" "100_0_1" NA "19" "plot_large_p_small_n_30_100_0_1_1.png" "large_p_small_n" "5"
14 "30" "p_noise_d" "100_0_1" NA "10" "plot_large_p_small_n_30_100_0_1_2.png" "large_p_small_n" "5"
15 "30" "p_noise_d" "100_0_1" NA "15" "plot_large_p_small_n_30_100_0_1_3.png" "large_p_small_n" "5"
16 "30" "p_noise_d" "20_1_1" NA "5" "plot_large_p_small_n_30_20_1_1_1.png" "large_p_small_n" "6"
17 "30" "p_noise_d" "20_1_1" NA "5" "plot_large_p_small_n_30_20_1_1_2.png" "large_p_small_n" "6"
18 "30" "p_noise_d" "20_1_1" NA "2" "plot_large_p_small_n_30_20_1_1_3.png" "large_p_small_n" "6"
19 "30" "p_noise_d" "40_1_1" NA "12" "plot_large_p_small_n_30_40_1_1_1.png" "large_p_small_n" "6"
20 "30" "p_noise_d" "40_1_1" NA "13" "plot_large_p_small_n_30_40_1_1_2.png" "large_p_small_n" "6"
21 "30" "p_noise_d" "40_1_1" NA "8" "plot_large_p_small_n_30_40_1_1_3.png" "large_p_small_n" "6"
22 "30" "p_noise_d" "60_1_1" NA "10" "plot_large_p_small_n_30_60_1_1_1.png" "large_p_small_n" "6"
23 "30" "p_noise_d" "60_1_1" NA "20" "plot_large_p_small_n_30_60_1_1_2.png" "large_p_small_n" "6"
24 "30" "p_noise_d" "60_1_1" NA "9" "plot_large_p_small_n_30_60_1_1_3.png" "large_p_small_n" "6"
25 "30" "p_noise_d" "80_1_1" NA "20" "plot_large_p_small_n_30_80_1_1_1.png" "large_p_small_n" "6"
26 "30" "p_noise_d" "80_1_1" NA "14" "plot_large_p_small_n_30_80_1_1_2.png" "large_p_small_n" "6"
27 "30" "p_noise_d" "80_1_1" NA "15" "plot_large_p_small_n_30_80_1_1_3.png" "large_p_small_n" "6"
28 "30" "p_noise_d" "100_1_1" NA "8" "plot_large_p_small_n_30_100_1_1_1.png" "large_p_small_n" "6"
29 "30" "p_noise_d" "100_1_1" NA "6" "plot_large_p_small_n_30_100_1_1_2.png" "large_p_small_n" "6"
30 "30" "p_noise_d" "100_1_1" NA "1" "plot_large_p_small_n_30_100_1_1_3.png" "large_p_small_n" "6"
31 "30" "p_noise_d" "20_0_2" NA "9" "plot_large_p_small_n_30_20_0_2_1.png" "large_p_small_n" "1"
32 "30" "p_noise_d" "20_0_2" NA "6" "plot_large_p_small_n_30_20_0_2_2.png" "large_p_small_n" "1"
33 "30" "p_noise_d" "20_0_2" NA "1" "plot_large_p_small_n_30_20_0_2_3.png" "large_p_small_n" "1"
34 "30" "p_noise_d" "40_0_2" NA "9" "plot_large_p_small_n_30_40_0_2_1.png" "large_p_small_n" "2"
35 "30" "p_noise_d" "40_0_2" NA "11" "plot_large_p_small_n_30_40_0_2_2.png" "large_p_small_n" "2"
36 "30" "p_noise_d" "40_0_2" NA "17" "plot_large_p_small_n_30_40_0_2_3.png" "large_p_small_n" "2"
37 "30" "p_noise_d" "60_0_2" NA "11" "plot_large_p_small_n_30_60_0_2_1.png" "large_p_small_n" "3"
38 "30" "p_noise_d" "60_0_2" NA "12" "plot_large_p_small_n_30_60_0_2_2.png" "large_p_small_n" "3"
39 "30" "p_noise_d" "60_0_2" NA "15" "plot_large_p_small_n_30_60_0_2_3.png" "large_p_small_n" "3"
40 "30" "p_noise_d" "80_0_2" NA "19" "plot_large_p_small_n_30_80_0_2_1.png" "large_p_small_n" "4"
41 "30" "p_noise_d" "80_0_2" NA "12" "plot_large_p_small_n_30_80_0_2_2.png" "large_p_small_n" "4"
42 "30" "p_noise_d" "80_0_2" NA "20" "plot_large_p_small_n_30_80_0_2_3.png" "large_p_small_n" "4"
43 "30" "p_noise_d" "100_0_2" NA "13" "plot_large_p_small_n_30_100_0_2_1.png" "large_p_small_n" "5"
44 "30" "p_noise_d" "100_0_2" NA "16" "plot_large_p_small_n_30_100_0_2_2.png" "large_p_small_n" "5"
45 "30" "p_noise_d" "100_0_2" NA "20" "plot_large_p_small_n_30_100_0_2_3.png" "large_p_small_n" "5"
46 "30" "p_noise_d" "20_1_2" NA "10" "plot_large_p_small_n_30_20_1_2_1.png" "large_p_small_n" "6"
47 "30" "p_noise_d" "20_1_2" NA "15" "plot_large_p_small_n_30_20_1_2_2.png" "large_p_small_n" "6"
48 "30" "p_noise_d" "20_1_2" NA "15" "plot_large_p_small_n_30_20_1_2_3.png" "large_p_small_n" "6"
49 "30" "p_noise_d" "40_1_2" NA "12" "plot_large_p_small_n_30_40_1_2_1.png" "large_p_small_n" "6"
50 "30" "p_noise_d" "40_1_2" NA "4" "plot_large_p_small_n_30_40_1_2_2.png" "large_p_small_n" "6"
51 "30" "p_noise_d" "40_1_2" NA "20" "plot_large_p_small_n_30_40_1_2_3.png" "large_p_small_n" "6"
52 "30" "p_noise_d" "60_1_2" NA "14" "plot_large_p_small_n_30_60_1_2_1.png" "large_p_small_n" "6"
53 "30" "p_noise_d" "60_1_2" NA "14" "plot_large_p_small_n_30_60_1_2_2.png" "large_p_small_n" "6"
54 "30" "p_noise_d" "60_1_2" NA "11" "plot_large_p_small_n_30_60_1_2_3.png" "large_p_small_n" "6"
55 "30" "p_noise_d" "80_1_2" NA "16" "plot_large_p_small_n_30_80_1_2_1.png" "large_p_small_n" "6"
56 "30" "p_noise_d" "80_1_2" NA "3" "plot_large_p_small_n_30_80_1_2_2.png" "large_p_small_n" "6"
57 "30" "p_noise_d" "80_1_2" NA "8" "plot_large_p_small_n_30_80_1_2_3.png" "large_p_small_n" "6"
58 "30" "p_noise_d" "100_1_2" NA "20" "plot_large_p_small_n_30_100_1_2_1.png" "large_p_small_n" "6"
59 "30" "p_noise_d" "100_1_2" NA "9" "plot_large_p_small_n_30_100_1_2_2.png" "large_p_small_n" "6"
60 "30" "p_noise_d" "100_1_2" NA "1" "plot_large_p_small_n_30_100_1_2_3.png" "large_p_small_n" "6"
61 "50" "p_noise_d" "40_0_2" NA "8" "plot_wasp_30_40_0_2_1.png" "large_p_small_n" "7"
62 "50" "p_noise_d" "40_0_2" NA "2" "plot_wasp_30_40_0_2_2.png" "large_p_small_n" "7"
63 "50" "p_noise_d" "40_0_2" NA "1" "plot_wasp_30_40_0_2_3.png" "large_p_small_n" "7"
64 "50" "p_noise_d" "40_1_2" NA "14" "plot_wasp_30_40_1_2_1.png" "large_p_small_n" "7"
65 "50" "p_noise_d" "40_1_2" NA "9" "plot_wasp_30_40_1_2_2.png" "large_p_small_n" "7"
66 "50" "p_noise_d" "40_1_2" NA "9" "plot_wasp_30_40_1_2_3.png" "large_p_small_n" "7"
